Default Order,OfficerName,AbilityType,OfficerSynergy,AbilityModifier,AbilityConditions,AbilityTrigger,AbilityTarget,AbilityOperation,AbilityAttributes,AbilityDescription,AbilityDescriptionShort,AbilityChances,AbilityValues,AbilityHasChance,AbilityShowPercentage,Tag_PvPinSpace,Tag_PvPinSpace_Reason,Tag_PvPStation,Tag_PvPStation_Reason,Tag_NonArmadaHostiles,Tag_NonArmadaHostiles_Reason,Tag_WaveDefense,Tag_WaveDefense_Reason,Tag_MissionBosses,Tag_MissionBosses_Reason,Tag_QTrial,Tag_QTrial_Reason,Tag_SoloArmadas,Tag_SoloArmadas_Reason,Tag_GroupArmadas,Tag_GroupArmadas_Reason,Tag_Assaults,Tag_Assaults_Reason,Tag_InvadingEntities,Tag_InvadingEntities_Reason,Tag_OutpostArmadas,Tag_OutpostArmadas_Reason,Tag_OutpostRetaliators,Tag_OutpostRetaliators_Reason,Tag_Loot,Tag_Loot_Reason,Tag_Utility,Tag_Utility_Reason,AbilityID,OfficerId,OfficerArt,OfficerRarity,Requires_StateSelf,Requires_StateTarget,Conditional_Reason,AbilityChance_1,AbilityChance_2,AbilityChance_3,AbilityChance_4,AbilityChance_5,AbilityValue_1,AbilityValue_2,AbilityValue_3,AbilityValue_4,AbilityValue_5,Column 1,Column 2
36,LIVIS,OA,NERO'S CREW,HullHPMax,SelfBattleship,ShipLaunched,SelfShip,MultiplyAdd,,"If the ship is a Battleship, Livis increases its maximum Hull Health by X.",+X to this ship's max Hull Health if it is a Battleship,"1.0, 1.0, 1.0, 1.0, 1.0","0.2, 0.3, 0.4, 0.5, 0.6",FALSE,TRUE,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,➖,HullHPMax,➖,HullHPMax,2714109144,2333021829,18,Rare,,,SelfBattleship,1,1,1,1,1,0.2,0.3,0.4,0.5,0.6,,
37,ARIX,CM,NERO'S CREW,AddState,HitEnemyWithEnergy,EnemyTakesHit,EnemyShip,Set,"num_rounds=1, state=2","Every time the opponent is hit by an energy weapon attack, Arix has a X chance of Burning it. -- (Weapons with multiple shots will only trigger this maneuver once per attack.)",X chance to cause Burning to the opponent after hitting it with an energy weapon,"0.1, 0.02, 0.05","1.0, 1.0, 1.0",TRUE,TRUE,✴️,HitEnemyWithEnergy,✴️,HitEnemyWithEnergy,✴️,HitEnemyWithEnergy,✴️,HitEnemyWithEnergy,✴️,HitEnemyWithEnergy,✴️,HitEnemyWithEnergy,✴️,HitEnemyWithEnergy,✴️,HitEnemyWithEnergy,✴️,HitEnemyWithEnergy,✴️,HitEnemyWithEnergy,✴️,HitEnemyWithEnergy,✴️,HitEnemyWithEnergy,➖,AddState,➖,AddState,2603504550,339936167,19,Uncommon,,,HitEnemyWithEnergy,0.1,0.02,0.05,,,1,1,1,,,,
38,ARIX,OA,NERO'S CREW,ShipArmor,HullHealthBelowStartOfCombat,RoundStart,SelfShip,MultiplyAdd,percentage=0.7,"As long as the ship's Hull Health is under 70% of its value at the start of combat, Arix increases its Armor by X",+X to Armor when the ship has less than 70% Hull Health,"1.0, 1.0, 1.0, 1.0, 1.0","0.15, 0.2, 0.3, 0.4, 0.5",FALSE,TRUE,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,✴️,HullHealthBelowStartOfCombat,➖,ShipArmor,➖,ShipArmor,193818243,339936167,19,Uncommon,,,HullHealthBelowStartOfCombat,1,1,1,1,1,0.15,0.2,0.3,0.4,0.5,,
39,VELLA,CM,NERO'S CREW,AllDamage,EnemyExplorer,CombatStart,SelfShip,MultiplyAdd,,"If the opponent's ship is an Explorer, Vella increases the damage of weapons by X.",+X Damage if the opponent is an Explorer,"1.0, 1.0, 1.0","0.1, 0.05, 0.1",FALSE,TRUE,✴️,EnemyExplorer,✴️,EnemyExplorer,✴️,EnemyExplorer,✴️,EnemyExplorer,✴️,EnemyExplorer,✴️,EnemyExplorer,✴️,EnemyExplorer,✴️,EnemyExplorer,✴️,EnemyExplorer,✴️,EnemyExplorer,✴️,EnemyExplorer,✴️,EnemyExplorer,➖,AllDamage,➖,AllDamage,3575708063,2235857051,20,Uncommon,,,EnemyExplorer,1,1,1,,,0.1,0.05,0.1,,,,
40,VELLA,OA,NERO'S CREW,OfficerStatHealth,,ShipLaunched,SelfAll,MultiplyAdd,,Vella increases the total Health of all Officers on the ship by X.,+X to Health for all Officers on this ship,"1.0, 1.0, 1.0, 1.0, 1.0","0.05, 0.07, 0.09, 0.12, 0.15",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,OfficerStatHealth,➖,OfficerStatHealth,4246759861,2235857051,20,Uncommon,,,,1,1,1,1,1,0.05,0.07,0.09,0.12,0.15,,
41,JAVAID,CM,NERO'S CREW,ShieldPiercing,,ShipLaunched,SelfShip,MultiplyAdd,,Javaid increases the Shield Piercing of the ship by X.,+X to Shield Piercing,"1.0, 1.0, 1.0","0.2, 0.05, 0.1",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,ShieldPiercing,➖,ShieldPiercing,2120680252,668528267,21,Uncommon,,,,1,1,1,,,0.2,0.05,0.1,,,,
42,JAVAID,OA,NERO'S CREW,ShipArmor,SelfBattleship,ShipLaunched,SelfShip,MultiplyAdd,,"If the ship is a Battleship, Javaid increases its Armor by X.",+X to Armor if the ship is a Battleship,"1.0, 1.0, 1.0, 1.0, 1.0","0.15, 0.2, 0.25, 0.3, 0.4",FALSE,TRUE,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,✴️,SelfBattleship,➖,ShipArmor,➖,ShipArmor,640569748,668528267,21,Uncommon,,,SelfBattleship,1,1,1,1,1,0.15,0.2,0.25,0.3,0.4,,
43,T'PRING,CM,SURVEYORS & MINERS,MiningRate,,ShipLaunched,SelfShip,MultiplyAdd,"resources=[96209859, 1779416627, 2964093937, 1349464922, 2002611017, 296474010]",T'pring increases the Mining Rate of the ship by X when mining Gas.,+X to Gas mining rate,"1.0, 1.0, 1.0","0.4, 0.2, 0.3",FALSE,TRUE,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,✅,,3248153153,1556052341,49,Rare,,,,1,1,1,,,0.4,0.2,0.3,,,,
44,T'PRING,OA,SURVEYORS & MINERS,CargoProtection,,ShipLaunched,SelfShip,MultiplyAdd,,T'Pring increases the Protected Cargo by X.,+X to Protected Cargo,"1.0, 1.0, 1.0, 1.0, 1.0","0.5, 1.0, 1.5, 2.0, 3.0",FALSE,TRUE,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,✅,,1776341383,1556052341,49,Rare,,,,1,1,1,1,1,0.5,1,1.5,2,3,,
45,STONN,CM,SURVEYORS & MINERS,MiningRate,,ShipLaunched,SelfShip,MultiplyAdd,"resources=[1908242242, 84292608, 802509572, 2905009151, 3842158911, 1586478890]",Stonn increases the Mining Rate of the ship by X when mining Ore.,+X to Ore mining rate,"1.0, 1.0, 1.0","0.4, 0.2, 0.3",FALSE,TRUE,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,✅,,2656033988,755079845,50,Rare,,,,1,1,1,,,0.4,0.2,0.3,,,,
46,STONN,OA,SURVEYORS & MINERS,CargoCapacity,,ShipLaunched,SelfShip,MultiplyAdd,,Stonn increases the Cargo size of the ship by X.,+X to Cargo size,"1.0, 1.0, 1.0, 1.0, 1.0","0.2, 0.25, 0.3, 0.35, 0.4",FALSE,TRUE,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,✅,,3963393918,755079845,50,Rare,,,,1,1,1,1,1,0.2,0.25,0.3,0.35,0.4,,
47,BAROT,CM,SURVEYORS & MINERS,MiningRate,,ShipLaunched,SelfShip,MultiplyAdd,"resources=[1371898528, 680796905, 3735331456, 3598797204, 3739531165, 2285412015]",Barot increases the rate of Crystal Mining by X.,+X to Crystal Mining rate,"1.0, 1.0, 1.0","0.4, 0.2, 0.3",FALSE,TRUE,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,✅,,703289562,2518604778,89,Rare,,,,1,1,1,,,0.4,0.2,0.3,,,,
48,BAROT,OA,SURVEYORS & MINERS,HullHPRepair,"SelfMining, SelfDefending",CombatStart,EnemyShip,MultiplySub,,"When the ship becomes attacked while mining, at the beginning of combat, Barot decreases the opponent's Hull Health by X.",-X to the opponent's Hull Health at the start of combat if attacked while mining,"1.0, 1.0, 1.0, 1.0, 1.0","0.1, 0.15, 0.2, 0.25, 0.3",FALSE,TRUE,✴️,when mining,➖,SelfMining,➖,"SelfMining, SelfDefending",➖,"SelfMining, SelfDefending",➖,"SelfMining, SelfDefending",➖,"SelfMining, SelfDefending",➖,"SelfMining, SelfDefending",➖,"SelfMining, SelfDefending",➖,"SelfMining, SelfDefending",➖,"SelfMining, SelfDefending",➖,"SelfMining, SelfDefending",➖,"SelfMining, SelfDefending",➖,HullHPRepair,➖,HullHPRepair,2398413031,2518604778,89,Rare,,,when mining,1,1,1,1,1,0.1,0.15,0.2,0.25,0.3,,
49,DOMITIA,CM,SURVEYORS & MINERS,MiningRate,,ShipLaunched,SelfShip,MultiplyAdd,"resources=[2614028847, 733419347]",Domitia increases the Mining Rate of the ship by X when mining Dilithium.,+X to Dilithium mining rate,"1.0, 1.0, 1.0","0.4, 0.2, 0.3",FALSE,TRUE,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,✅,,2591028018,3816036121,51,Common,,,,1,1,1,,,0.4,0.2,0.3,,,,
50,DOMITIA,OA,SURVEYORS & MINERS,WarpSpeed,CargoFull,ShipLaunched,SelfShip,MultiplyAdd,,"As long as the Cargo of the ship is full, Domitia increases its Warp speed by X.",+X to Warp speed when the Cargo is full,"1.0, 1.0, 1.0, 1.0, 1.0","0.25, 0.5, 0.75, 1.0, 1.3",FALSE,TRUE,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,✅,,2687495170,3816036121,51,Common,,,,1,1,1,1,1,0.25,0.5,0.75,1,1.3,,
51,K'BISCH,CM,SURVEYORS & MINERS,MiningRate,,ShipLaunched,SelfShip,MultiplyAdd,"resources=[743985951, 1734940706, 580616659]",K'Bisch increases the Mining Rate of the ship by X when mining Tritanium.,+X to Tritanium mining rate,"1.0, 1.0, 1.0","0.4, 0.2, 0.3",FALSE,TRUE,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,✅,,762142944,2432668775,52,Common,,,,1,1,1,,,0.4,0.2,0.3,,,,
52,K'BISCH,OA,SURVEYORS & MINERS,AllDamage,"CombatBattleType, CombatGameContext, SelfDefending",CombatStart,EnemyShip,MultiplySub,"battle_types=[4], game_context=mining_node","As long as the ship is mining, K'Bisch reduces the damage dealt by attacking opponents by X.",-X to Damage taken when mining,"1.0, 1.0, 1.0, 1.0, 1.0","0.1, 0.12, 0.14, 0.16, 0.2",FALSE,TRUE,✴️,"docked on a node, on a Mining Node",➖,"CombatBattleType, CombatGameContext",➖,"CombatBattleType, CombatGameContext, SelfDefending",➖,"CombatBattleType, CombatGameContext, SelfDefending",➖,"CombatBattleType, CombatGameContext, SelfDefending",➖,"CombatBattleType, CombatGameContext, SelfDefending",➖,"CombatBattleType, CombatGameContext, SelfDefending",➖,"CombatBattleType, CombatGameContext, SelfDefending",➖,"CombatBattleType, CombatGameContext, SelfDefending",➖,"CombatBattleType, CombatGameContext, SelfDefending",➖,"CombatBattleType, CombatGameContext, SelfDefending",➖,"CombatBattleType, CombatGameContext, SelfDefending",➖,AllDamage,➖,AllDamage,2133714071,2432668775,52,Common,,,"docked on a node, on a Mining Node",1,1,1,1,1,0.1,0.12,0.14,0.16,0.2,,
53,HELVIA,CM,SURVEYORS & MINERS,MiningRate,,ShipLaunched,SelfShip,MultiplyAdd,"resources=[2325683920, 4275314946, 999782265]",Helvia increases the Mining Rate of the ship by X when mining Parsteel.,+X to Parsteel mining rate,"1.0, 1.0, 1.0","0.4, 0.2, 0.3",FALSE,TRUE,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,✅,,774401700,3156736320,53,Common,,,,1,1,1,,,0.4,0.2,0.3,,,,
54,HELVIA,OA,SURVEYORS & MINERS,WarpSpeed,CargoEmpty,ShipLaunched,SelfShip,MultiplyAdd,,"As long as the Cargo of the ship is empty, Helvia increases its Warp speed by X.",+X to Warp speed when the Cargo is empty,"1.0, 1.0, 1.0, 1.0, 1.0","0.25, 0.5, 0.75, 1.0, 1.25",FALSE,TRUE,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,✅,,2541405785,3156736320,53,Common,,,,1,1,1,1,1,0.25,0.5,0.75,1,1.25,,
55,GONZALES,CM,STARFLEET ACADEMY,CritChance,EnemyHostile,CombatStart,SelfShip,Add,,"If the opponent is a Hostile, Gonzales increases the chances of dealing a Critical Hit by X.",+X to Critical chance against Hostiles,"1.0, 1.0, 1.0","0.08, 0.01, 0.02",FALSE,TRUE,➖,EnemyHostile,➖,EnemyHostile,✅,,✅,,➖,EnemyHostile,✅,,✅,,✅,,➖,EnemyHostile,✅,,➖,EnemyHostile,➖,EnemyHostile,➖,CritChance,➖,CritChance,2126712571,2865735742,70,Uncommon,,,,1,1,1,,,0.08,0.01,0.02,,,,
56,GONZALES,OA,STARFLEET ACADEMY,CritDamage,EnemyHostile,CombatStart,SelfShip,Add,,"If the opponent is a Hostile, Gonzales increases the damage of Critical Hits by X.",+X to Critical Hit Damage against Hostiles,"1.0, 1.0, 1.0, 1.0, 1.0","0.05, 0.1, 0.15, 0.2, 0.3",FALSE,TRUE,➖,EnemyHostile,➖,EnemyHostile,✅,,✅,,➖,EnemyHostile,✅,,✅,,✅,,➖,EnemyHostile,✅,,➖,EnemyHostile,➖,EnemyHostile,➖,CritDamage,➖,CritDamage,3597408330,2865735742,70,Uncommon,,,,1,1,1,1,1,0.05,0.1,0.15,0.2,0.3,,
57,CHEN,CM,STARFLEET ACADEMY,AllDefenses,"TargetMaxLevel, EnemyHostile",CombatStart,SelfShip,MultiplyAdd,max_level=51,"Chen increases the Dodge, Shield Deflection and Armor of the ship by X against Hostiles. Works against Hostiles of level 51 and under.","+X to the Dodge, Shield Deflection and Armor of the ship against Hostiles","1.0, 1.0, 1.0","0.2, 0.1, 0.15",FALSE,TRUE,➖,EnemyHostile,➖,EnemyHostile,✴️,target level 51 or under,✴️,target level 51 or under,➖,EnemyHostile,✴️,target level 51 or under,✴️,target level 51 or under,✴️,target level 51 or under,➖,EnemyHostile,✴️,target level 51 or under,➖,EnemyHostile,➖,EnemyHostile,➖,AllDefenses,➖,AllDefenses,4019544321,2765885322,71,Uncommon,,,target level 51 or under,1,1,1,,,0.2,0.1,0.15,,,,
58,CHEN,OA,STARFLEET ACADEMY,AllDamage,"TargetMaxLevel, EnemyHostile, TargetNotArmada, ModuleEnergy",CombatStart,EnemyShip,MultiplySub,max_level=51,"If the opponent is a Hostile, Chen decreases the damage done by its Energy Weapons by X. Works against Hostiles of level 51 and under.",-X To energy damage dealt by enemy Hostiles,"1.0, 1.0, 1.0, 1.0, 1.0","0.1, 0.15, 0.2, 0.25, 0.3",FALSE,TRUE,➖,"EnemyHostile, ModuleEnergy",➖,"EnemyHostile, ModuleEnergy",✴️,"TargetMaxLevel, ModuleEnergy",✴️,"TargetMaxLevel, ModuleEnergy",➖,"EnemyHostile, ModuleEnergy",✴️,"TargetMaxLevel, ModuleEnergy",➖,TargetNotArmada,➖,TargetNotArmada,➖,"EnemyHostile, ModuleEnergy",➖,TargetNotArmada,➖,"EnemyHostile, ModuleEnergy",➖,"EnemyHostile, ModuleEnergy",➖,AllDamage,➖,AllDamage,4155292475,2765885322,71,Uncommon,,,"TargetMaxLevel, ModuleEnergy",1,1,1,1,1,0.1,0.15,0.2,0.25,0.3,,
59,GAILA,CM,STARFLEET ACADEMY,CombatParsteelReward,,ShipLaunched,SelfShip,MultiplyAdd,,Gaila increases the Parsteel rewards for defeating a Hostile by X.,+X to Parsteel rewards from Hostiles,"1.0, 1.0, 1.0","0.25, 0.05, 0.1",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,CombatParsteelReward,➖,CombatParsteelReward,2055328539,776602621,72,Common,,,,1,1,1,,,0.25,0.05,0.1,,,,
60,GAILA,OA,STARFLEET ACADEMY,CritDamage,"TargetMaxLevel, EnemyHostile",CombatStart,EnemyShip,Sub,max_level=70,"If the opponent is a Hostile, Gaila decreases the damage from its Critical Hits by X. Works against Hostiles of level 70 and under.",-X to Critical Damage from Hostiles,"1.0, 1.0, 1.0, 1.0, 1.0","0.1, 0.2, 0.3, 0.4, 0.5",FALSE,TRUE,➖,EnemyHostile,➖,EnemyHostile,✴️,target level 70 or under,✴️,target level 70 or under,➖,EnemyHostile,✴️,target level 70 or under,✴️,target level 70 or under,✴️,target level 70 or under,➖,EnemyHostile,✴️,target level 70 or under,➖,EnemyHostile,➖,EnemyHostile,➖,CritDamage,➖,CritDamage,2166644813,776602621,72,Common,,,target level 70 or under,1,1,1,1,1,0.1,0.2,0.3,0.4,0.5,,
61,SHEV,CM,STARFLEET ACADEMY,CombatTritaniumReward,,ShipLaunched,SelfShip,MultiplyAdd,,Shev increases the Tritanium rewards for defeating a Hostile by X.,+X to Tritanium rewards from Hostiles,"1.0, 1.0, 1.0","0.25, 0.05, 0.1",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,CombatTritaniumReward,➖,CombatTritaniumReward,2509864835,2567136252,73,Common,,,,1,1,1,,,0.25,0.05,0.1,,,,
62,SHEV,OA,STARFLEET ACADEMY,AllDamage,"EnemyHostile, ModuleEnergy",CombatStart,SelfShip,MultiplyAdd,,"If the opponent is a Hostile, Shev increases the damage of the Energy weapons of the ship by X.",+X to Energy damage against Hostiles,"1.0, 1.0, 1.0, 1.0, 1.0","0.05, 0.07, 0.1, 0.15, 0.2",FALSE,TRUE,➖,"EnemyHostile, ModuleEnergy",➖,"EnemyHostile, ModuleEnergy",✴️,ModuleEnergy,✴️,ModuleEnergy,➖,"EnemyHostile, ModuleEnergy",✴️,ModuleEnergy,✴️,ModuleEnergy,✴️,ModuleEnergy,➖,"EnemyHostile, ModuleEnergy",✴️,ModuleEnergy,➖,"EnemyHostile, ModuleEnergy",➖,"EnemyHostile, ModuleEnergy",➖,AllDamage,➖,AllDamage,1009573168,2567136252,73,Common,,,ModuleEnergy,1,1,1,1,1,0.05,0.07,0.1,0.15,0.2,,
63,T'LAAN,CM,STARFLEET ACADEMY,CombatXPReward,,ShipLaunched,SelfShip,MultiplyAdd,,T'Laan increases the Ship Experience gained by X.,+X more Ship XP from battles,"1.0, 1.0, 1.0","0.15, 0.03, 0.05",FALSE,TRUE,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,➖,CombatXPReward,✅,,746079457,1455040265,74,Common,,,,1,1,1,,,0.15,0.03,0.05,,,,
64,T'LAAN,OA,STARFLEET ACADEMY,AllDamage,"ModuleKinetic, TargetMaxLevel, EnemyHostile, TargetNotArmada",CombatStart,EnemyShip,MultiplySub,max_level=51,"If the opponent is a Hostile, T'Laan decreases the Damage done by its Kinetic Weapons by X. Works against Hostiles of level 51 and under.",-X to Kinetic Damage dealt by enemy Hostiles,"1.0, 1.0, 1.0, 1.0, 1.0","0.05, 0.07, 0.1, 0.15, 0.2",FALSE,TRUE,➖,"ModuleKinetic, EnemyHostile",➖,"ModuleKinetic, EnemyHostile",✴️,"TargetMaxLevel, ModuleKinetic",✴️,"TargetMaxLevel, ModuleKinetic",➖,"ModuleKinetic, EnemyHostile",✴️,"TargetMaxLevel, ModuleKinetic",➖,TargetNotArmada,➖,TargetNotArmada,➖,"ModuleKinetic, EnemyHostile",➖,TargetNotArmada,➖,"ModuleKinetic, EnemyHostile",➖,"ModuleKinetic, EnemyHostile",➖,AllDamage,➖,AllDamage,2109540283,1455040265,74,Common,,,"TargetMaxLevel, ModuleKinetic",1,1,1,1,1,0.05,0.07,0.1,0.15,0.2,,
65,VEL,CM,STARFLEET ACADEMY,CombatDilithiumReward,,ShipLaunched,SelfShip,MultiplyAdd,,Vel increases the Dilithium rewards for defeating a Hostile by X.,+X to Dilithium rewards from Hostiles,"1.0, 1.0, 1.0","0.25, 0.05, 0.1",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,CombatDilithiumReward,➖,CombatDilithiumReward,4094351740,3281026482,75,Common,,,,1,1,1,,,0.25,0.05,0.1,,,,
66,VEL,OA,STARFLEET ACADEMY,AllDamage,"ModuleKinetic, EnemyHostile",CombatStart,SelfShip,MultiplyAdd,,"If the opponent is a Hostile, Vel increases the damage made by the Kinetic Weapons of the ship by X.",+X to Kinetic damage against Hostiles,"1.0, 1.0, 1.0, 1.0, 1.0","0.05, 0.07, 0.1, 0.15, 0.2",FALSE,TRUE,➖,"ModuleKinetic, EnemyHostile",➖,"ModuleKinetic, EnemyHostile",✴️,ModuleKinetic,✴️,ModuleKinetic,➖,"ModuleKinetic, EnemyHostile",✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,➖,"ModuleKinetic, EnemyHostile",✴️,ModuleKinetic,➖,"ModuleKinetic, EnemyHostile",➖,"ModuleKinetic, EnemyHostile",➖,AllDamage,➖,AllDamage,326209566,3281026482,75,Common,,,ModuleKinetic,1,1,1,1,1,0.05,0.07,0.1,0.15,0.2,,
67,M'BENGA,CM,AUXILIARY CONTROLS,AllPiercing,SelfAtStation,ShipLaunched,SelfShip,MultiplyAdd,,"When defending the Station, M'Benga increases the Armor Piercing, Shield Piercing and Accuracy of the ship by X.","+X to Armor Piercing, Shield Piercing and Accuracy when defending the Station","1.0, 1.0, 1.0","0.1, 0.02, 0.05",FALSE,TRUE,➖,SelfAtStation,✅,,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,AllPiercing,➖,AllPiercing,3760528359,2775384983,58,Common,,,,1,1,1,,,0.1,0.02,0.05,,,,
68,M'BENGA,OA,AUXILIARY CONTROLS,AllDefenses,SelfAtStation,ShipLaunched,SelfShip,MultiplyAdd,,"When defending the station, M'Benga increases Dodge, Armor and Shield Deflection by X.","+X to Dodge, Armor and Shield when defending the Station","1.0, 1.0, 1.0, 1.0, 1.0","0.1, 0.16, 0.22, 0.3, 0.4",FALSE,TRUE,➖,SelfAtStation,✅,,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,SelfAtStation,➖,AllDefenses,➖,AllDefenses,64409548,2775384983,58,Common,,,,1,1,1,1,1,0.1,0.16,0.22,0.3,0.4,,
69,KURON,CM,BLOOD & HONOR,AllReloadSpeed,ModuleKinetic,CombatStart,SelfShip,Sub,num_rounds=1,Kuron has a X chance to automatically recharge all kinetic weapons on the first turn.,X chance to automatically recharge all kinetic weapons on the first turn,"0.5, 0.1, 0.2","100.0, 0.0, 0.0",TRUE,TRUE,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,➖,AllReloadSpeed,➖,AllReloadSpeed,1556590305,913104893,25,Rare,,,ModuleKinetic,0.5,0.1,0.2,,,100,0,0,,,,
70,KURON,OA,BLOOD & HONOR,ImpulseSpeed,,BattleWon,SelfShip,MultiplyAdd,duration_seconds=30,"After destroying a ship, Kuron increases the Impulse Speed by X until his ship's next battle or its return to the Station.",+X to Impulse Speed after destroying a ship.,"1.0, 1.0, 1.0, 1.0, 1.0","0.25, 0.3, 0.35, 0.4, 0.5",FALSE,TRUE,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,✅,,2443405066,913104893,25,Rare,,,,1,1,1,1,1,0.25,0.3,0.35,0.4,0.5,,
